Qcolumn,OGcolumn,typ,enable
id,id,S,1
sym,symbol,S,1
name,name,C,0
image,image,*,0
price,current_price,f,1
mrkCp,market_cap,j,1
mrkCpRnk,market_cap_rank,j,1
fdv,fully_diluted_valuation,j,1
totVol,total_volume,j,1
high24h,high_24h,f,0
low24h,low_24h,f,0
priceDel24h,price_change_24h,f,1
priceDelPerc24h,price_change_percentage_24h,f,1
mrkCpDel24h,market_cap_change_24h,f,1
mrkCpDelPerc24h,market_cap_change_percentage_24h,f,1
circSup,circulating_supply,j,1
totSup,total_supply,j,1
maxSup,max_supply,j,1
ath,ath,f,1
athDelPerc,ath_change_percentage,f,1
athDate,ath_date,*,1
atl,atl,f,1
atlDelPerc,atl_change_percentage,f,1
atlDate,atl_date,*,1
roi,roi,*,0
time,last_updated,*,1
